Title,Source title,DOI,Link,Affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Document Type,Source,EID
"How the Anatomische Gesellschaft excluded unwanted members after 1945—among them Eugen Fischer and Max Clara","Annals of Anatomy",10.1016/j.aanat.2016.08.005,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994293380&doi=10.1016%2fj.aanat.2016.08.005&partnerID=40&md5=7e67a0959fe2af609365bb4da827f10a","Institute of Anatomy, Brandenburg Medical School, Fehrbelliner Str. 38, Neuruppin, Germany","The Anatomische Gesellschaft, an international Germany-based association of anatomists, was closed down in 1945, after the end of the “Third Reich”. It was eventually re-founded in 1949, continuing its tradition from its foundation in 1886, based in large part on the membership prior to 1945. Newly available archival material reveals, however, that at least six members were explicitly prevented from re-joining the society. This includes Max Clara, who was accused of plagiarism and, at least implicitly, of basing his career on Nazi party support. It also includes Eugen Fischer, a leading anthropologist of the Nazi period, who was seen to be indirectly responsible for Nazi crimes like forced sterilisation or extermination of “anthropologically defined” groups of people. Therefore, Fischer's honorary membership, which had already been published in the membership directory, was revoked after a heated internal debate. Nevertheless, these exclusions cannot be interpreted as a self-directed “denazification” of the Anatomische Gesellschaft, as political activity in line with the Nazis was not the main criterion for these exclusions. Incidentally, the archival sources also reveal that Wolfgang Bargmann, who had been elected as the first post-war secretary of the Gesellschaft in 1949, resigned from this post after only one year in office because his management of this “Fischer affair” was felt to be too autocratic. © 2016 Elsevier GmbH","Anatomische Gesellschaft; Anthropology; Denazification; Eugen Fischer; Max Clara; Wolfgang Bargmann","anatomy; anthropology; career; crime; directory; Germany; human; involuntary sterilization; publishing; history; medical society; national socialism; organization and management; university; war; war crime; Anatomy; Committee Membership; Germany; History, 20th Century; National Socialism; Societies, Medical; Universities; War Crimes; World War II",,,09409602,,ANANE,27773773,"English",Article,Scopus,2-s2.0-84994293380
"Research trends in MSC 65 numerical analysis","Communications in Statistics: Simulation and Computation",10.1080/03610918.2015.1056356,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006142190&doi=10.1080%2f03610918.2015.1056356&partnerID=40&md5=cffa123e88ab7489dc6775c88d685aa0","Castro Valley, California, USA","The modern research area of numerical analysis was created to study the mathematics of computation after the second World War. Mathematicians in general and even specialists may not be aware of overall trends in research and especially not in quantifiable form because of the diverse subject matter. Bibliometric data show that the largest and most rapidly growing portion of numerical analysis is statistical computing. The geographic distribution of researchers is also uneven reflecting differences in national research policies. © 2017 Taylor & Francis Group, LLC","Bibliometry; Contemporary mathematics; Numerical analysis history; Statistics history","Geographical distribution; Military operations; Bibliometric; Bibliometry; Research policies; Research trends; Second World War; Statistical computing; Subject matters; Numerical analysis",,,03610918,,,,"English",Article in Press,Scopus,2-s2.0-85006142190
"On the significance of the Circle of Tugo","The Pharos of Alpha Omega Alpha-Honor Medical Society. Alpha Omega Alpha",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965089432&partnerID=40&md5=89ea96b075081b7c8a85d7fbf797d74b",,[No abstract available],,"art; Europe; history; human; injury; military medicine; public hospital; soldier; United States; war; Boston; Europe; History, 20th Century; Hospitals, Military; Humans; Military Medicine; Military Personnel; World War I; Wounds and Injuries",,,00317179,,,26930762,"English",Article,Scopus,2-s2.0-84965089432
"Remembering pearl harbor at 75 years","American Journal of Nursing",10.1097/01.NAJ.0000508670.41586.11,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997427256&doi=10.1097%2f01.NAJ.0000508670.41586.11&partnerID=40&md5=a47d727f703b4b00d1cc93f5a8774482",,[No abstract available],,"Hawaii; history; war; Hawaii; History, 20th Century; World War II",,,0002936X,,AJNUA,27875447,"English",Review,Scopus,2-s2.0-84997427256
"Student nurse in the war zone","American Journal of Nursing",10.1097/01.NAJ.0000508673.16037.52,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997079374&doi=10.1097%2f01.NAJ.0000508673.16037.52&partnerID=40&md5=5e1c78afcb2560159588113397815d63",,[No abstract available],,"Hawaii; history; military nursing; nursing student; war; Hawaii; History, 20th Century; Military Nursing; Students, Nursing; World War II",,,0002936X,,AJNUA,27875450,"English",Review,Scopus,2-s2.0-84997079374
"Turn, turn, turn⋯","Ricerche di Storia Politica",10.1412/84763,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85002870929&doi=10.1412%2f84763&partnerID=40&md5=6909a55344681430ccd8b93bbe25194f","Faculty of History, University of Cambridge, Cambridge, United Kingdom","This essay examines how new methodological approaches and historical sub-disciplines - influenced by numerous global, cultural and transnational ""turns"" - have affected the study of the relations among states and their leaders. The author claims that approaches such as transnational history or the ""global turn"" are fundamental for the analysis of phenomena like migrations or cultural transfers that cannot be studied within a traditional, state-centred frame. At the same time, the essay underlines that the interactions among states and the agency of their leaders still represent key explanatory factors of historical change in an interdependent world.","Cultural turn; Global turn; International history; Transnational turn; World history",,,,11209526,,,,"English",Review,Scopus,2-s2.0-85002870929
"SimAttack: private web search under fire","Journal of Internet Services and Applications",10.1186/s13174-016-0044-x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964253412&doi=10.1186%2fs13174-016-0044-x&partnerID=40&md5=b1776f4c579f6f3c8a7c8db3137a9bf4","Université de Lyon, CNRS, INSA-Lyon, LIRIS, UMR5205, Lyon, France; Universität Passau, Innstrasse 43, Passau, Germany","Web Search engines have become an indispensable online service to retrieve content on the Internet. However, using search engines raises serious privacy issues as the latter gather large amounts of data about individuals through their search queries. Two main techniques have been proposed to privately query search engines. A first category of approaches, called unlinkability, aims at disassociating the query and the identity of its requester. A second category of approaches, called indistinguishability, aims at hiding user’s queries or user’s interests by either obfuscating user’s queries, or forging new fake queries. This paper presents a study of the level of protection offered by three popular solutions: Tor-based, TrackMeNot, and GooPIR. For this purpose, we present an efficient and scalable attack – SimAttack – leveraging a similarity metric to capture the distance between preliminary information about the users (i.e., history of query) and a new query. SimAttack de-anonymizes up to 36.7 % of queries protected by an unlinkability solution (i.e., Tor-based), and identifies up to 45.3 and 51.6 % of queries protected by indistinguishability solutions (i.e., TrackMeNot and GooPIR, respectively). In addition, SimAttack de-anonymizes 6.7 % more queries than state-of-the-art attacks and dramatically improves the performance of the attack on TrackMeNot by 23.6 %, while retaining an execution time faster by two orders of magnitude. © 2016, Petit et al.","Indistinguishability; Privacy; Unlinkability; Web search","Data privacy; Information retrieval; Search engines; Websites; History of queries; Indistinguishability; Large amounts of data; Orders of magnitude; Preliminary information; Query search engines; Unlinkability; Web searches; World Wide Web",,,18674828,,,,"English",Article,Scopus,2-s2.0-84964253412
"Ellipsoid bounding estimation for kinematic geodetic positioning","Measurement: Journal of the International Measurement Confederation",10.1016/j.measurement.2016.07.023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982793345&doi=10.1016%2fj.measurement.2016.07.023&partnerID=40&md5=58bd56357db4d3af5de1117885411328","School of Electronics and Information, Jiangsu University of Science and Technology, Zhenjiang, Jiangsu, China; Automation School, Harbin Engineering University, Harbin, Heilongjiang, China","In kinematic position estimation, a Kalman filter procedure is often used to provide improved solution benefiting from the history information. However, the optimal Kalman filtering solutions are subject to precise function models and statistic knowledge of noises, which may be difficult to obtain in advance. As a result, Kalman filter does not necessarily provide better performance for kinematic positioning solutions. In real world situations, a bound of the noise distribution would be easily and more reasonably determined than noise statistics. This paper studies ellipsoid bounding estimation for kinematic position estimation. In this estimation, neither process nor measurement noise characteristics are necessary, as long as the noises at each sample points can be confined in a bound (ellipsoid). A general trace criteria is adopted to choose the optimal estimator. For a the special case that only scalar measurement is available, e.g., a position measurement, we designed a modified intersection approach to reduce the estimation conservatism. Numerical results are given in each estimation step to illustrate the algorithm. A flight trajectory data is processed and the estimation results are compared under three different measurement noise cases: Gaussian white noise, uniformly noise (non-Gaussian) and the real measurement noise. Kalman filter results are also given for comparison. Results demonstrate the ellipsoid estimation indeed offers improved kinematic position solution in the sense of robustness for non-Gaussian noises, and retains nearly the same estimation error variance. © 2016 Elsevier Ltd","Constant velocity model; Ellipsoid estimation; Kalman filter","Estimation; Filtration; Gaussian distribution; Gaussian noise (electronic); Kalman filters; Kinematics; Position measurement; Spurious signal noise; Constant velocity models; Gaussian white noise; Geodetic positioning; History informations; Kinematic positioning; Position estimation; Real world situations; Scalar measurements; White noise",,,02632241,,MSRMD,,"English",Article,Scopus,2-s2.0-84982793345
"World War I in the history of globalization","Historical Reflections",10.3167/hrrh.2016.420307,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994189413&doi=10.3167%2fhrrh.2016.420307&partnerID=40&md5=dfbc4dbd3c238b8947ff1ee7f460eefd","Elizabethtown College, United States","World War I is the most important single event in the history of globalization. The war ended the first significant era of increasing economic ties among nations and thereby shaped the economic history of the twentieth century. The war set off both a search for ways to re-create the prewar liberal world economy and attempts to create statist alternatives to it. The collapse of interbank cooperation and expansion of controls on trade, migration, and agriculture meant that economic globalization re-emerged only very slowly over the rest of the twentieth century. Indeed, the long-term effects of World War I lasted until the 1990s. The lesson of this story for the twenty-first century is to check the dangers inherent in a multipolar world, where globalization produces both economic growth and social tensions. © 2016 Berghahn Books.","Agriculture; Economic history; Globalization; Imperialism; Interbank cooperation; Migration; Tariffs; World War I",,,,03157997,,,,"English",Article,Scopus,2-s2.0-84994189413
"The RNA World at Thirty: A Look Back with its Author","Journal of Molecular Evolution",10.1007/s00239-016-9767-3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995794424&doi=10.1007%2fs00239-016-9767-3&partnerID=40&md5=e09c526d3eebb9d8c3ecef1d54471762","History of Science, 516, 1st Cross Road, Koramangala 4th Block, Bangalore, Karnataka, India","Thirty years ago, molecular biologist Walter Gilbert published his RNA world hypothesis, which posited that early in evolution living systems were composed entirely of RNA. Proposed in the immediate wake of the discovery that certain RNA molecules were capable of catalyzing biological reactions, the hypothesis ascribed both of life’s essential functions, namely carrying information and catalysis—respectively, performed by DNA and proteins in most modern life systems—to RNA, which were labeled as ribozymes. In the years since its inception, the RNA world has been greeted with equal parts enthusiasm and opposition from the origins of life research community, of which Gilbert neither was, nor really became, a part. For this special historical issue of the Journal of Molecular Evolution, Gilbert agreed to revisit his hypothesis and share his memories about the theory’s origins and his insights into its fate in the years since he first published his idea. © 2016, Springer Science+Business Media New York.","History of science; Origins of life; Ribozymes; RNA world hypothesis; Walter Gilbert",,,,00222844,,JMEVA,,"English",Review,Scopus,2-s2.0-84995794424
"Reflections of history: representations of the Second World War in Valkyria Chronicles","Rethinking History",10.1080/13642529.2016.1256625,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996606780&doi=10.1080%2f13642529.2016.1256625&partnerID=40&md5=29721cce7069d960416ae17f5209b345","Digital Culture, University of Turku, Pori, Finland","Many contemporary video games engage with historical representations. Series like Civilization (1991–present), Assassin’s Creed (2007–present), and Call of Duty (2003–present) have shown that history is a popular playground for games. Taking a step away from the historical and towards the fantastical, Valkyria Chronicles is a Japanese tactical role-playing game structured around a reframing of World War II, presenting it as a fictional conflict on an imagined continent. Though not strictly a historical game, Valkyria Chronicles nevertheless offers a case for examining playful representations of the past. In this article, Valkyria Chronicles is analyzed through the concept of selective authenticity to see how the historical connections to World War II in the game are built and maintained: which elements of the popular memory of the war are leveraged to create historical authenticity when the game in general strives towards fantasy. Reading Valkyria Chronicles as a reflection of history, this article presents the basics of how the game’s counterfactual narratives and depictions of history connect it to the established popular metanarrative about World War II, and how the game also self-reflexively comments on the susceptibility and malleability of historical facts as they are recorded and reinterpreted. © 2016 Informa UK Limited, trading as Taylor & Francis Group","History-based videogames; Japanese videogames; Second World War",,,,13642529,,,,"English",Article in Press,Scopus,2-s2.0-84996606780
"Mātauranga Māori—the ūkaipō of knowledge in New Zealand","Journal of the Royal Society of New Zealand",10.1080/03036758.2016.1252407,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995468558&doi=10.1080%2f03036758.2016.1252407&partnerID=40&md5=a8bd7b260ba5739ebeeaa292472c2458","Ngā Pae o te Māramatanga & Te Pūnaha Matatini, School of Social Sciences, University of Auckland, Private Bag 92019, Auckland, New Zealand","Mātauranga Māori spans Māori knowledge, culture, values and world view. Pūrākau and maramataka, forms of mātauranga Māori, comprise knowledge generated using methods and techniques developed independently from other knowledge systems. Hitherto mostly ignored or disregarded by the science community because it seemed to be myth and legend, fantastic and implausible, mātauranga Māori includes knowledge generated using techniques consistent with the scientific method, but explained according to a Māori world view. Acknowledging this extends the history of scientific endeavour back to when Māori arrived in Aotearoa and Te Wai Pounamu, many centuries ago. © 2016 The Royal Society of New Zealand","History of science; knowledge systems; maramataka; pūrākau; scientific method; world view",,,,03036758,,,,"English",Article in Press,Scopus,2-s2.0-84995468558
"From Mediterranean basin to the Andean mountains, the long journey of the artichoke that unites different people and cultures","Acta Horticulturae",10.17660/ActaHortic.2016.1147.4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007417977&doi=10.17660%2fActaHortic.2016.1147.4&partnerID=40&md5=b29fbb54d630662903d9bd4cdad4c9da","CNR - Institute of Sciences of Food Production, via Amendola, 122/o, Bari, Italy","The artichoke is native of the Mediterranean basin, but the history of its domestication is not yet completely clear; certainly plants similar to the present artichoke, were known and appreciated by the ancient Greeks and Romans. Recent studies suggest that the artichoke domestication started in Roman times, around the 1st century AD probably in Sicily; then the crop was spread by Arabs, who dominated the southern Mediterranean during the Middle Ages. The period of greatest diffusion of the artichoke starts with the Modern Age. From Naples, it was brought to Florence in 1466 by Filippo Strozzi and from Tuscany it was soon spread across the rest of Europe. Even before 1530, the artichoke was grown in southern France, while in the following decades its presence is recorded in the Languedoc, in the Loire Valley and Ile of France; in Brittany the first artichokes were grown in the gardens of the Bishop in St. Paul de Leon. In the same period, the artichoke was introduced in England, probably by the Dutch. The diffusion of the artichoke had a considerable boost in the 18th and 19th century, when the French and the Spanish emigrants brought the plant in the United States, respectively, in Louisiana and in California. Also during the 18th and 19th century when European emigrants introduced the artichoke in South America (Argentina, Chile, Peru, Brazil). Currently, the artichoke world area harvested is of 131.000 ha, spread about 45% in Europe, mainly Italy, Spain and France, 31% in Africa (Egypt, Morocco, Tunisia, Algeria), 16% in the Americas (Peru, Argentina, USA) and 8% in Asia (China, Turkey, Islamic Republic of Iran). In this paper are reported historical, artistic, linguistic and literature evidences, as well as statistical data concerning the diffusion and the importance of artichoke in the world.","Artistic records; Cynara cardunculus; History; Taxonomy; World diffusion",,,,05677572,9789462611375,,,"English",Conference Paper,Scopus,2-s2.0-85007417977
