Source title,DOI,Link,Affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,EID
"Bulletin of Experimental Biology and Medicine",10.1007/s10517-014-2511-3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904324640&doi=10.1007%2fs10517-014-2511-3&partnerID=40&md5=0643d6b199a1d4872669fbffbccc5f3d","Research Institute of Pharmacology, Siberian Division of the Russian Academy of Medical Sciences, Tomsk, Russian Federation","We studied the mechanisms of regenerative (wound healing) effects of songorine associated with functional activation of mesenchymal progenitor cells. The key role of FGF receptors on these progenitor cells in the stimulation of realization of their growth potential under the effect of the alkaloid was demonstrated. Under in vitro conditions, the antibodies to FGF receptor abolished the songorine-induced increase in the number of fibroblast colony-forming units in bone marrow cell culture. The intensity of differentiation of mesenchymal precursors remained unchanged. © 2014 Springer Science+Business Media.","Alkaloids; Progenitor cells; Receptors to fibroblast growth factor; Regenerative medicine; Songorine","alkaloid; antibody; fibroblast growth factor receptor; songorine; unclassified drug; alkaloid; antibody; fibroblast growth factor; fibroblast growth factor receptor; songorine; animal tissue; article; bone marrow cell; cell differentiation; cell regeneration; controlled study; mesenchymal stem cell; mouse; nonhuman; signal transduction; skin injury; wound healing; aconite; animal; antagonists and inhibitors; cell culture; chemistry; cytology; drug effects; gene expression; genetics; isolation and purification; mesenchymal stroma cell; metabolism; outbred strain; pathology; skin; wound healing; Wounds, Nonpenetrating; Aconitum; Alkaloids; Animals; Animals, Outbred Strains; Antibodies; Cells, Cultured; Fibroblast Growth Factors; Gene Expression; Mesenchymal Stromal Cells; Mice; Receptors, Fibroblast Growth Factor; Signal Transduction; Skin; Wound Healing; Wounds, Nonpenetrating",,,00074888,,BEXBA,24913580,"English",2-s2.0-84904324640
"Bulletin of Experimental Biology and Medicine",10.1007/s10517-014-2564-3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905592233&doi=10.1007%2fs10517-014-2564-3&partnerID=40&md5=2246d3da5982eedd9dc03f15fe2f5262","Research Institute of Pharmacology, Siberian Division of the Russian Academy of Medical Sciences, Tomsk, Russian Federation","We studied the in vitro role of NF-κB-dependent signaling in the growth capacity of mesenchymal progenitor cells upon stimulation by basic fi broblast growth factor. Proliferative activity of progenitor cells was suppressed by specifi c inhibitors of this transcription factor (NF-κB), oridonin and aurothiomalate. These inhibitors had no effect on differentiation of fi broblast CFU. © 2014 Springer Science+Business Media.","fi broblast growth factor; intracellular signal pathways; progenitor cells; regenerative medicine; transcription factor NF-κB","aurothiomalate; fibroblast growth factor 2; immunoglobulin enhancer binding protein; oridonin; fibroblast growth factor 2; immunoglobulin enhancer binding protein; animal cell; animal experiment; animal model; article; cell differentiation; cell growth; cell proliferation; cell regeneration; cell stimulation; controlled study; fibroblast; in vitro study; mesenchymal stem cell; mouse; nonhuman; signal transduction; animal; CBA mouse; cell culture; cell cycle checkpoint; mesenchymal stroma cell; metabolism; physiology; second messenger; Animals; Cell Cycle Checkpoints; Cell Proliferation; Cells, Cultured; Fibroblast Growth Factor 2; Mesenchymal Stromal Cells; Mice, Inbred CBA; NF-kappa B; Second Messenger Systems",,,00074888,,BEXBA,25065316,"English",2-s2.0-84905592233
"Bulletin of Experimental Biology and Medicine",10.1007/s10517-014-2530-0,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904311436&doi=10.1007%2fs10517-014-2530-0&partnerID=40&md5=61bccbbc5df2b20eddcd73926ae09654","E. D. Gol'dberg Research Institute of Pharmacology, Siberian Division, Russian Academy of Medical Sciences, Tomsk, Russian Federation","We studied the role of cAMP- and IKK-2-dependent pathways under conditions of functional stimulation of mesenchymal progenitor cells by basic fibroblast growth factor. An adenylate cyclase inhibitor 2′,5′-dideoxyadenosine had no effect on functional activity of early (primitive) mesenchymal precursors. This agent produced a stimulatory effect on proliferation of stromal precursor cells. Mitotic activity of mesenchymal progenitor cells was shown to decrease after treatment with a specific blocker of the IKK-2 kinase-inhibitor complex. © 2014 Springer Science+Business Media.","Basic fibroblast growth factor; cAMP; IKK; Progenitor cells; Regenerative medicine","2',5' dideoxyadenosine; cyclic AMP; fibroblast growth factor 2; I kappa B kinase beta; cyclic AMP; fibroblast growth factor 2; I kappa B kinase; Ikbkb protein, mouse; animal cell; article; cell proliferation; controlled study; mesenchymal stem cell; mitosis rate; mouse; nonhuman; animal; cell culture; cytology; drug effects; mesenchymal stroma cell; metabolism; physiology; regenerative medicine; signal transduction; Animals; Cells, Cultured; Cyclic AMP; Fibroblast Growth Factor 2; I-kappa B Kinase; Mesenchymal Stromal Cells; Mice; Regenerative Medicine; Signal Transduction",,,00074888,,BEXBA,24952490,"English",2-s2.0-84904311436
"Journal of Tissue Engineering and Regenerative Medicine",10.1002/term.1559,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903815920&doi=10.1002%2fterm.1559&partnerID=40&md5=1dd50d1b3651731f114b2509d3d5a603","Università degli Studi di Genova, Istituto Nazionale per la Ricerca sul Cancro, Genova, Italy; A.A. Baikov Institute of Metallurgy and Materials Science, Russian Academy of Sciences, Moscow, Russian Federation; CREATIS Inserm U1044, France; CNRS 5220, Université de Lyon, France; INSA Lyon, 69621 Villeurbanne Cedex, France; ESRF, Grenoble Cedex, BP220, 38043, France","The development of an in vitro model of bone and the optimization of tools for determining the biological processes occurring during bone repair remains a major goal in the field of bone tissue engineering. Recently, a model based on a three-dimensional co-culture of osteoblasts and osteoclast precursors in SkeliteTM scaffolds was developed. Although induction of osteoblast and osteoclast differentiation was observed, a complete evaluation of bone deposition and biodegradation processes was missing due to technical limitations. In the current study, both X-ray computed microtomography and histological analysis were used to monitor these two key biological processes in the same in vitro model. Either osteoblasts or a combination of osteoblasts and osteoclasts were seeded on SkeliteTM scaffolds. Scaffold biodegradation and increased bone deposition together with a more organized extracellular matrix were observed in the co-cultures, highlighting the role of osteoclasts in the determination and regulation of bone deposition. Results confirmed the potential and relevance of co-culturing osteoblasts and osteoclasts to resemble native tissue. The combination of X-ray computed microtomography and histology presented in this study could be useful in future studies for the validation and development of new in vitro culture systems for bone tissue engineering. © 2012 John Wiley &amp; Sons, Ltd.","Bone remodelling; Bone tissue engineering; Histomorphometry; Osteoblast; Osteoclast; Scaffold; X-ray computed microtomography","tissue scaffold; biomaterial; animal experiment; animal tissue; article; biodegradation; bone tissue; coculture; controlled study; extracellular matrix; in vitro study; micro-computed tomography; morphometrics; mouse; newborn; nonhuman; osteoblast; osteoclast; priority journal; tissue engineering; X ray computed microtomography; animal; bone remodeling; chemistry; cytology; extracellular matrix; metabolism; micro-computed tomography; three dimensional imaging; tissue scaffold; Animals; Biocompatible Materials; Bone Remodeling; Coculture Techniques; Extracellular Matrix; Imaging, Three-Dimensional; Mice; Osteoblasts; Osteoclasts; Tissue Scaffolds; X-Ray Microtomography",,,19326254,,,22730262,"English",2-s2.0-84903815920
"Bulletin of Experimental Biology and Medicine",10.1007/s10517-014-2385-4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899447807&doi=10.1007%2fs10517-014-2385-4&partnerID=40&md5=bf7f2ec90bc6cf7c2844331e9de6868a","P. A. Hertsen Moscow Research Cancer Institute, Ministry of Health, Russian Federation, Moscow, Russian Federation; N. I. Pirogov Russian National Research Medical University, Moscow, Russian Federation; A. N. Severtsov Institute of Ecology and Evolution, Russian Academy of Sciences, Moscow, Russian Federation","Cytocompatibility of 5 coral aquaculture skeleton species derived from two families (Acroporidae and Pocilloporidae) was studied over the course of in vitro culturing in continuous human fibroblast culture by the MMT test. Biocompatibility and capacity of scaffold to ""transfer"" cell cultures (specifically, multipotent mesenchymal stromal cells) to sites of implantation were studied in vivo by subcutaneous implantation of skeletal fragments to rats. All coral skeleton aquaculture specimens were cytocompatible (nontoxic and with surface matrix characteristics satisfactory for cells), biocompatible, and could be tried as 3D matrices for bone tissue engineering. © 2014 Springer Science+Business Media New York.","biocompatibility; coral aquacultures; cytocompatibility; multipotent mesenchymal stromal cells; tissue engineering construct","Acroporidae abrotanoides; Acroporidae hyacinthus; Acroporidae nobilis; Acroporidae samoensis; animal cell; animal experiment; aquaculture; article; biocompatibility; cell culture; controlled study; coral; coral skeleton aquaculture; fluorescence microscopy; in vitro study; in vivo study; male; mesenchymal stroma cell; nonhuman; rat; skeleton; tissue engineering; transfer cell; animal; Anthozoa; bone prosthesis; bone regeneration; cell culture; cell survival; culture technique; fibroblast; human; materials testing; physiology; prostheses and orthoses; tissue scaffold; Wistar rat; Acroporidae; Anthozoa; Pocilloporidae; Rattus; bone prosthesis; Animals; Anthozoa; Bone Regeneration; Bone Substitutes; Cell Culture Techniques; Cell Survival; Cells, Cultured; Fibroblasts; Humans; Male; Materials Testing; Mesenchymal Stromal Cells; Prostheses and Implants; Rats, Wistar; Tissue Scaffolds",,,00074888,,BEXBA,24771438,"English",2-s2.0-84899447807
"Progress in Biomedical Optics and Imaging - Proceedings of SPIE",10.1117/12.2036337,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897450373&doi=10.1117%2f12.2036337&partnerID=40&md5=44016da608a6c29aec688c453b1a650d","Chelyabinsk State University, 129, Br.Kashirinykh, Chelyabinsk, 454001, Russian Federation","The paper presents a new method for distant non-destructive determination of concentration of light absorbing admixtures in turbid media. In particular, it is intended for non-invasive in vivo control of accumulation in patient tissues of various biochemicals introduced to the patients for chemotherapy, photodynamic therapy or diagnostics. It is require that the admixture absorption spectrum should have a clearly marked peak in the wavelength region where the pure medium one varies regularly. Fluorescence of admixtures is not required. The method uses the local diffuse reflectance spectroscopy with optical fiber probe including one emitting and two reading There are several features in the method: the value to be determined is absolute concentration of admixtures; the method needs no calibration measurements on phantoms; it needs no reference measurements on sample with zero admixture concentration; it uses a two parametric kinetic light propagation model and original algorithms to resolve direct and inverse tasks of radiation transport theory. Experimental testing passed with tissue equivalent phantoms and different admixtures, including a chlorine photosensitizer, showed accuracy under 10% in all cases. © 2014 SPIE.","Admixture; Biological tissue; Concentration of dye; Diffuse reflectance; Monte Carlo method; Non-destructive measurement; Photodynamic diagnostics; Turbid media","Absorption spectroscopy; Chemotherapy; Light scattering; Medical applications; Monte Carlo methods; Optical fibers; Photodynamic therapy; Photosensitizers; Reflection; Statistical mechanics; Tissue; Turbidity; Admixture; Biological tissues; Diffuse reflectance; Non-destructive measurement; Turbid media; Tissue engineering",,,16057422,9780819498656,,,"English",2-s2.0-84897450373
"Quantum Electronics",10.1070/QE2014v044n07ABEH015565,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905442774&doi=10.1070%2fQE2014v044n07ABEH015565&partnerID=40&md5=b4e9b2f88cd6cc177ce4b9ea29f0549c","Department of Physics, M.V. Lomonosov Moscow State University, Vorob'evy gory, 119991 Moscow, Russian Federation; International Laser Center, M.V. Lomonosov Moscow State University, Vorob'evy gory, 119991 Moscow, Russian Federation; Institute on Laser and Information Technologies, Russian Academy of Sciences, Svyatoozerskaya ul. 1, 140700 Shatura, Moscow region, Russian Federation; Institute of Laser Physics, Siberian Branch, Russian Academy of Sciences, prosp. Akad. Lavrent'eva 13/3, 630090 Novosibirsk, Russian Federation","This paper briefly examines methods for the generation of pulsed terahertz radiation and principles of pulsed terahertz spectroscopy, an advanced informative method for studies of complex biological and nanostructured systems. Some of its practical applications are described. Using a number of steroid hormones as examples, we demonstrate that terahertz spectroscopy in combination with molecular dynamics methods and computer simulation allows one to gain information about the structure of molecules in crystals. A 'terahertz colour vision' method is proposed for analysis of pulsed terahertz signals reflected from biological tissues and it is shown that this method can be effectively used to analyse the properties of biological tissues and for early skin cancer diagnosis. © 2014 Kvantovaya Elektronika and Turpion Ltd.","Biological tissue; Colour vision; Molecular crystal; Terahertz radiation","Color vision; Computer simulation; Electromagnetic wave emission; Molecular crystals; Molecular dynamics; Terahertz spectroscopy; Terahertz waves; Tissue; Biological tissues; Molecular dynamics methods; Nano-scale system; Nanostructured systems; Pulsed terahertz spectroscopies; Structure of molecules; Terahertz frequency range; Terahertz radiation; Tissue engineering","12-08-00921, RFBR, Russian Foundation for Basic Research; 13-02-01364, RFBR, Russian Foundation for Basic Research; 14-02-00979, RFBR, Russian Foundation for Basic Research",,10637818,,,,"English",2-s2.0-84905442774
"Bulletin of Experimental Biology and Medicine",10.1007/s10517-014-2394-3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899455741&doi=10.1007%2fs10517-014-2394-3&partnerID=40&md5=c51f09d1b637cb46edc7f5d40ed0f7dc","Research Center for Medical Technology and Biotechnology, Bad Langensalza, Germany; Novosibirsk State Agrarian University, Novosibirsk, Russian Federation","We studied biochemical, morphological, and histological parameters of the extracellular matrix in scaffold-free tissue engineering chondrotransplants prepared from chondrocytes isolated from knee joint cartilage biopsy specimens of Haflinger horses (age 3.5-14 years) and in transplants prepared on the basis of commercial matrixes of Ethisorbff and Chondro-Gideff. A total of 50 tissue-engineering constructs were designed and analyzed. Passage 2 cells populations were used. Mechanical stimulation during culturing of scaffold-free constructs considerably activated synthesis of the basic components of the cartilage matrix (proteoglycan concentration was 35% of the content in the native tissue, and the content of collagen-specific amino acids hydroxyproline and hydroxylysine attained 29.3 and 12.7%, respectively). The architecture of these cartilage constructs was morphologically and histologically similar to the native cartilage tissue. Insufficient support of the chondrogenesis by scaffold-based chondrotransplants and no differences between these constructs by the studied parameters were noted despite different chemical nature and structure of these scaffolds. © 2014 Springer Science+Business Media New York.","mechanical stimulation; scaffold-free chondrotransplants; scaffolds; tissue engineering","amino acid; collagen; hydroxylysine; hydroxyproline; proteoglycan; tissue scaffold; biomaterial; Ethisorb; glycosaminoglycan; polyglycolic acid; animal experiment; animal tissue; article; cartilage biopsy; cartilage cell; cartilage graft; cartilage matrix; cell population; chondrogenesis; controlled study; extracellular matrix; horse; in vitro study; joint biopsy; mechanical stimulation; nonhuman; tissue engineering; animal; biosynthesis; cartilage; cell culture; culture technique; cytology; metabolism; physiology; regeneration; tissue engineering; tissue scaffold; Equidae; Animals; Biocompatible Materials; Cartilage; Cell Culture Techniques; Cells, Cultured; Chondrocytes; Extracellular Matrix; Glycosaminoglycans; Horses; Hydroxylysine; Hydroxyproline; Polyglycolic Acid; Regeneration; Tissue Engineering; Tissue Scaffolds",,,00074888,,BEXBA,24771447,"English",2-s2.0-84899455741
"Analytical and Bioanalytical Chemistry",10.1007/s00216-014-7656-4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898052965&doi=10.1007%2fs00216-014-7656-4&partnerID=40&md5=d0ba11a475b7d7a3aee1dc7f4b47df1a","Institut de Chimie des Substances Naturelles, UPR 2301, Centre National de la Recherche Scientifique, Avenue de la Terrasse, 91198 Gif-sur-Yvette, France; Photobiology Laboratory, Russian Academy of Sciences, Siberian Branch, Krasnoyarsk 660036, Russian Federation; Laboratory of Bioluminescent Biotechnologies, Institute of Fundamental Biology and Biotechnology, Siberian Federal University, Krasnoyarsk 660041, Russian Federation; Institut des Neurosciences Alfred Fessard, UPR 3294, Centre National de la Recherche Scientifique, Avenue de la Terrasse, 91198 Gif-sur-Yvette, France","The main analytical use of Ca2+-regulated photoproteins from luminous coelenterates is for real-time non-invasive visualization of intracellular calcium concentration ([Ca2+]i) dynamics in cells and whole organisms. A limitation of this approach for in vivo deep tissue imaging is the fact that blue light emitted by the photoprotein is highly absorbed by tissue. Seven novel coelenterazine analogues were synthesized and their effects on the bioluminescent properties of recombinant obelin from Obelia longissima and aequorin from Aequorea victoria were evaluated. Only analogues having electron-donating groups (m-OCH3 and m-OH) on the C6 phenol moiety or an extended resonance system at the C8 position (1-naphthyl and α-styryl analogues) showed a significant red shift of light emission. Of these, only the α-styryl analogue displayed a sufficiently high light intensity to allow eventual tissue penetration. The possible suitability of this compound for in vivo assays was corroborated by studies with aequorin which allowed the monitoring of [Ca2+]i dynamics in cultured CHO cells and in hippocampal brain slices. Thus, the α-styryl coelenterazine analogue might be potentially useful for non-invasive, in vivo bioluminescence imaging in deep tissues of small animals. © 2014 Springer-Verlag Berlin Heidelberg.","Bioluminescence; Coelenterazine; Luciferase; Photoprotein","Bioluminescence; Calcium; Phosphorescence; Plants (botany); Tissue; Aequorea victoria; Coelenterazine; Deep tissue imaging; Electron-donating group; Intracellular calcium concentration; Luciferase; Photoproteins; Tissue penetrations; Tissue engineering; Aequorea victoria; Animalia; Coelenterata; Obelia longissima; aequorin; coelenterazine; imidazole derivative; luminescent agent; obelin; photoprotein; pyrazine derivative; animal; chemistry; CHO cell line; Cricetulus; devices; Hydrozoa; luminescence; molecular imaging; procedures; Aequorin; Animals; CHO Cells; Cricetulus; Hydrozoa; Imidazoles; Luminescent Agents; Luminescent Measurements; Luminescent Proteins; Molecular Imaging; Pyrazines",,,16182642,,ABCNB,24553660,"English",2-s2.0-84898052965
"Journal of Cranio-Maxillofacial Surgery",10.1016/j.jcms.2013.06.012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902190602&doi=10.1016%2fj.jcms.2013.06.012&partnerID=40&md5=903d79b72787cc5fea3b97a7488494a0","Dipartimento di Medicina Sperimentale (D.I.M.E.S.), Università di Genova and AOU San Martino, Istituto Nazionale per la Ricerca sul Cancro, Largo Rosanna Benzi 10, 16132 Genova, Italy; Tissue Engineering Labs, Faculty of Dentistry, Alexandria University, El-Guish Road, El-Shatby, 21526 Alexandria, Egypt; Pharos University, Canal El Mahmoudia Street, Alexandria, Egypt; Faculty of Medicine, Alexandria University, El-Guish Road, El-Shatby, 21526 Alexandria, Egypt; Department of Industrial Engineering and Information Technology, University of Trieste, Piazzale Europa 1, 34127 Trieste, Italy; Sincrotrone Trieste S.C.p.A., 5 in AREA Science Park, Elettra Strada Statale 14 - km 163, 34149 Basovizza, Trieste, Italy; A.A. Baikov Institute of Metallurgy and Materials Science, Russian Academy of Sciences, Leninskii Avenue 14, 119991 Moscow, Russian Federation","The use of platelet rich plasma (PRP) in bone repair remains highly controversial. In this work, we evaluated the effect of lyophilized PRP on bone regeneration when associated with a silicon stabilized hydroxyapatite tricalcium phosphate scaffold in a rabbit calvarial defect (Skelite™). Critical defects were created in the calvaria of twenty-four rabbits. The periosteum was removed and the defects were either left empty or filled with allogeneic PRP gel; Skelite particles; Skelite and PRP gel. Four animals were killed after 4 weeks, 10 animals after 8 and 10 after 16 weeks. Specimens were processed for X-ray microtomography (μCT) and for resin embedded histology. μCT analysis revealed significant osteoid-like matrix and new bone deposition in PRP + Skelite group at both 8 and 16 weeks in respect to Skelite alone. Histologically, PRP + Skelite defects were highly cellular with more abundant osteoid deposition and more regular collagen fibres. Moreover, in vitro migration assays confirmed the chemotactic effect of PRP to endothelial and osteoprogenitor cells. We conclude that the addition of PRP influenced the local tissue microenvironment by providing key cryptic factors for regeneration, thereby enhancing progenitor cell recruitment, collagen and bone matrix deposition, and by creating a bridging interface between the scaffold and bone. © 2013 European Association for Cranio-Maxillo-Facial Surgery. Published by Elsevier Ltd. All rights reserved.","Bone regeneration; Critical size defect; Hydroxyapatite/ tricalcium phosphate scaffold; Local microenvironment; MicroCT phase analysis; Osteoconduction; Platelet rich plasma","collagen fiber; hydroxyapatite beta tricalcium phosphate; resin; silicon; tissue scaffold; unclassified drug; ceramics; collagen; hydroxyapatite; hydroxyapatite-beta tricalcium phosphate; animal experiment; animal tissue; article; bone conduction; bone matrix; bone regeneration; calvaria; cell migration; controlled study; endothelium cell; experimental rabbit; fracture healing; in vitro study; male; micro-computed tomography; nonhuman; osteoid; osteoprogenitor cell; periosteum; skull defect; thrombocyte rich plasma; animal; bone development; Bone Diseases; cell motion; ceramics; chemistry; histology; mesenchymal stroma cell; osteoblast; pathology; physiology; procedures; rabbit; skull; thrombocyte rich plasma; time; tissue engineering; tissue scaffold; tumor microenvironment; umbilical vein endothelial cell; Animals; Bone Diseases; Bone Matrix; Bone Regeneration; Cell Movement; Cellular Microenvironment; Ceramics; Collagen; Endothelial Cells; Human Umbilical Vein Endothelial Cells; Hydroxyapatites; Male; Mesenchymal Stromal Cells; Osteoblasts; Osteogenesis; Plastic Embedding; Platelet-Rich Plasma; Rabbits; Skull; Time Factors; Tissue Engineering; Tissue Scaffolds; X-Ray Microtomography","ASRT, Academy of Scientific Research and Technology",,10105182,,JCMSE,23932544,"English",2-s2.0-84902190602
"Nature Communications",10.1038/ncomms4562,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921717747&doi=10.1038%2fncomms4562&partnerID=40&md5=35807df51fe5df24578fddaecf9bc51d","Advanced Center for Translational Regenerative Medicine (ACTREM), Department of Clinical Science, Intervention and Technology (CLINTEC), Stockholm, SE, Sweden; Division of Ear, Nose and Throat, Karolinska University Hospital, Stockholm, SE, Sweden; Cancer Centrum Karolinska, Karolinska Institutet, Stockholm, SE, Sweden; Department of Industrial Engineering, Intrauniversitary Consortium for Material Science and Technology (INSTM) Research Unit Tor Vergata, University of Rome, Rome, Italy; International Scientific-Research Clinical and Educational Center of Regenerative Medicine, Kuban State Medical University, Krasnodar, Russian Federation; Center for Gender Medicine, Karolinska Institutet, Stockholm, SE, Sweden; Division of Obstetrics and Gynecology, Department of Clinical Science, Intervention and Technology (CLINTEC), Stockholm, SE, Sweden; Department of Neuroscience, Karolinska Institutet, Stockholm, SE, Sweden; Department of Anatomy and Cell Biology, Faculty of Medicine, Martin Luther University Halle-Wittenberg, Halle Saale, Germany; Division of Medical Imaging and Technology, Department of Clinical Science, Intervention and Technology (CLINTEC) Karolinska Institutet, Stockholm, SE, Sweden; Department of Clinical Science, Intervention and Technology (CLINTEC), Karolinska Institutet, Stockholm, SE, Sweden; Center of Biosciences, Karolinska Institutet, Stockholm, SE, Sweden; Department of Basic Medical Sciences, Neurosciences and Sensory Organs, University of Bari Medical School, Bari, Italy; Department of Medical Biochemistry and Biophysics, Karolinska Institutet, Stockholm, SE, Sweden; Texas Heart Institute, Center for Regenerative Medicine, Houston, TX, United States","A tissue-engineered oesophageal scaffold could be very useful for the treatment of pediatric and adult patients with benign or malignant diseases such as carcinomas, trauma or congenital malformations. Here we decellularize rat oesophagi inside a perfusion bioreactor to create biocompatible biological rat scaffolds that mimic native architecture, resist mechanical stress and induce angiogenesis. Seeded allogeneic mesenchymal stromal cells spontaneously differentiate (proven by gene-, protein and functional evaluations) into epithelial-And muscle-like cells. The reseeded scaffolds are used to orthotopically replace the entire cervical oesophagus in immunocompetent rats. All animals survive the 14-day study period, with patent and functional grafts, and gain significantly more weight than sham-operated animals. Explanted grafts show regeneration of all the major cell and tissue components of the oesophagus including functional epithelium, muscle fibres, nerves and vasculature. We consider the presented tissue-engineered oesophageal scaffolds a significant step towards the clinical application of bioengineered oesophagi. © 2014 Macmillan Publishers Limited. All rights reserved.",,"bioengineering; bioreactor; cells and cell components; experimental study; immune response; rodent; tumor; adult; allotransplantation; angiogenesis; animal experiment; animal model; Article; bone marrow stroma cell; cell function; cell regeneration; controlled study; esophagus; experimental transplantation; explant; immunocompetence; immunogenicity; male; mechanical stress; mesenchymal stroma cell; nonhuman; orthotopic transplantation; pain assessment; rat; sham procedure; Sprague Dawley rat; tissue engineering; tissue regeneration; vascularization; weight gain; animal; cell differentiation; esophagus; mesenchymal stroma cell; pathology; procedures; regeneration; smooth muscle fiber; tissue engineering; tissue scaffold; transplantation; Animalia; Rattus; Animals; Cell Differentiation; Esophagus; Immunocompetence; Mesenchymal Stromal Cells; Myocytes, Smooth Muscle; Rats; Regeneration; Tissue Engineering; Tissue Scaffolds",,,20411723,,,24736316,"English",2-s2.0-84921717747
"Biomaterials",10.1016/j.biomaterials.2013.09.080,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887023845&doi=10.1016%2fj.biomaterials.2013.09.080&partnerID=40&md5=31605a3e3cf7a921247e412cae7f78a6","Department of Chemical Engineering, National Tsing Hua University, Hsinchu 300, Taiwan; Division of Cardiovascular Surgery, Department of Surgery, Taipei Medical University Hospital, Taipei 110, Taiwan; Molecular Imaging Center, Chang Gung Memorial Hospital, Linkou 333, Taiwan; Department of Electrical Engineering, Chang Gung University, Taoyuan 333, Taiwan; Department of Nuclear Medicine, Chang Gung Memorial Hospital, Linkou 333, Taiwan; Laboratory of Angiogenesis, Russian Cardiology Research and Production Complex, Moscow 121552, Russian Federation; Department of Biochemistry and Molecular Medicine, School of Medicine, Lomonosov's Moscow State University, Moscow 121552, Russian Federation","Cell sheet technology has been widely employed for the treatment of myocardial infarction (MI), but cell sheet fabrication generally requires the use of thermo-responsive dishes. Here we developed a method for the preparation of adipose-derived stem cell (ASC) sheet that obviated the need of thermo-responsive dishes. This method only required the seeding of rabbit ASC onto 6-well plates at an appropriate cell density and culture in appropriate medium, and the cells were able to develop into ASC sheet in 2 days. The ASC sheetallowed for transduction with the hybrid baculovirus at efficiencies >97%, conferring robust and prolonged (>35 days) overexpression of vascular endothelial growth factor (VEGF). The ASC sheet was easily detached by brief (10s) trypsinization and saline wash, while retaining the extracellular matrix and desired physical properties. The ASC sheet formation and VEGF expression promoted cell survival under hypoxia invitro. Epicardial implantation of the VEGF-expressing ASC sheet to rabbit MI models reduced the infarct size and improved cardiac functions to non-diseased levels, as judged from the left ventrical ejection fraction/myocardial perfusion. The VEGF-expressing ASC sheetalso effectively prevented myocardial wall thinning, suppressed myocardium fibrosis and enhanced blood vessel formation. These data implicated the potential of this method for the preparation of genetically engineered ASC sheet and future MI treatment. © 2013 Elsevier Ltd.","Adipose-derived stem cells; Baculovirus; Cell sheet; Gene therapy; Myocardial infarction; Vascular endothelial growth factor","Adipose derived stem cells; Baculovirus; Cell sheet; Myocardial Infarction; Vascular endothelial growth factor; Blood vessels; Cell engineering; Cytology; Gene therapy; Stem cells; Endothelial cells; baculovirus vector; vasculotropin 165; adipose derived stem cell; angiogenesis; animal experiment; animal model; article; Baculovirus; baculovirus expression system; capillary density; cardiovascular magnetic resonance; cell density; cell survival; collateral circulation; controlled study; enzyme linked immunosorbent assay; epicardium; epididymis; extracellular matrix; flow cytometry; heart ejection fraction; heart infarction; heart left ventricle ejection fraction; heart muscle contractility; heart muscle fibrosis; heart muscle ischemia; heart muscle perfusion; image enhancement; immunohistochemistry; in vitro study; male; nonhuman; priority journal; protein expression; rabbit; signal transduction; viral gene delivery system; Oryctolagus cuniculus; Adipose-derived stem cells; Baculovirus; Cell sheet; Gene therapy; Myocardial infarction; Vascular endothelial growth factor; Adipose Tissue; Animals; Baculoviridae; Magnetic Resonance Imaging; Male; Myocardial Infarction; Rabbits; Stem Cell Transplantation; Stem Cells; Tissue Engineering; Vascular Endothelial Growth Factor A",,,01429612,,BIMAD,24120047,"English",2-s2.0-84887023845
"Biomedical Engineering",10.1007/s10527-014-9397-2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897577430&doi=10.1007%2fs10527-014-9397-2&partnerID=40&md5=2bffb1efecdd5aa9f0fdd5aa040e13cc","Northwestern State Medical University, St. Petersburg, Russian Federation; St. Petersburg National Research University of Information Technologies, Mechanics, and Optics, St. Petersburg, Russian Federation","The metrological parameters of a phase-monitoring system were studied. The ability of this system for monitoring the state of biological objects (dental tissue) was demonstrated. The shift vector was used to test the accuracy of the specklegram processing method. Dental tissue under load was experimentally studied. Projections of the shift vector in loaded dental tissue along OX and OY were measured. © 2014 Springer Science+Business Media New York.",,"Engineering; Industrial engineering; Biological objects; Coherent processing; Dental tissues; Metrological parameters; Processing method; Shift vectors; Under loads; Tissue; amplifier; article; error; Fourier transformation; frequency analysis; geometry; measurement accuracy; medical device; metrological parameters; parameters; specklegram; spectral sensitivity; tooth",,,00063398,,BIOEA,,"English",2-s2.0-84897577430
